"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Target no-crawl reason"	"Anchor"	"Is source canonical"	"Is source noindex"	"Is target canonical"	"Is target noindex"	"Is link self-referencing"
"Href link"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb5fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"https://cindemirlaw.com/about-us/"	"200"	""	"О нас"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/articles/"	"200"	"https://cindemirlaw.com/our-articles-2/"	"200"	""	"Наши статьи"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/%D1%80%D0%B0%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0%D1%81%D0%BB%D0%B5%D0%B4%D1%81%D1%82%D0%B2%D0%B0-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8-%D1%8E%D1%80/"	"200"	"https://cindemirlaw.com/services/"	"200"	""	"Services"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/%D0%BA%D0%BE%D0%BC%D0%BF%D0%B5%D0%BD%D1%81%D0%B0%D1%86%D0%B8%D0%B8-%D0%BF%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5-%D0%B2-%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D0%B5/?lang=ru"	"200"	"https://cindemirlaw.com/%D0%BA%D0%B0%D0%BA-%D1%80%D0%B0%D0%B7%D0%B2%D0%B5%D1%81%D1%82%D0%B8%D1%81%D1%8C-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8/"	"301"	""	"Link to: Развод и раздел имущества по семейному праву Турции"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/support/"	"200"	"https://cindemirlaw.com/foreigners-and-international-protection-in-turkey/"	"200"	""	"lawyer"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/escrow-agency-escrow-agreement/"	"200"	"https://cindemirlaw.com/"	"200"	""	"Русский Русский Russian ru"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/accidents-on-the-road-in-turkey-car-crashes-traffic-accidents/"	"200"	"https://cindemirlaw.com/personal-injury-and-car-accidents-under-turkish-law/"	"200"	""	""	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/administrative-law/"	"200"	"https://cindemirlaw.com/banking-finance/"	"200"	""	"Link to: Banking & Finance"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"https://cindemirlaw.com/press/"	"301"	""	"О нас в прессе"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/liquidation-in-turkey/"	"200"	"https://cindemirlaw.com/"	"200"	""	"简体中文 简体中文 简体中文 Chinese (Simplified) zh-hans"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/offences-of-bodily-harm-under-turkish-law/"	"200"	"https://cindemirlaw.com/articles/"	"200"	""	"Articles"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/crypto-assets-status-a-perspective-following-turkeys-stance-on-crypto-use/"	"200"	"https://cindemirlaw.com/understanding-the-role-and-responsibilities-of-a-commercial-agent/"	"200"	""	"transactions"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/liaison-offices-in-turkey/"	"200"	"https://www.linkedin.com/company/cindemir-law-office/"	""	"Blocked by robots.txt"	"Link to LinkedIn"	"true"	"false"	""	""	"false"
"Href link"	"false"	"https://cindemirlaw.com/cenker-degirmenci-legal-advisorgeneral-coordinator/"	"200"	"https://cindemirlaw.com/turkish-lawyer-online-consultancy/"	"200"	""	"English"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/%D1%81%D1%82%D0%B0%D1%82%D1%83%D1%81-%D0%B1%D0%B5%D0%B6%D0%B5%D0%BD%D1%86%D0%B0-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8/?lang=ru"	"200"	"https://cindemirlaw.com/contacts/"	"200"	""	"Контакты"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/ottoman-archival-documents-and-their-role-in-legal-and-historical-investigations/"	"200"	"https://cindemirlaw.com/family-heritage/"	"200"	""	"Family Heritage"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/wrongful-death-claim-in-turkey-under-turkish-law/"	"200"	"https://cindemirlaw.com/turkish-lawyer-online-consultancy/"	"200"	""	"Turkish"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/irish-kuwaiti-tourist-acquitted-in-street-brawl-case-in-turkey-hurriyet-daily-news/"	"200"	"https://cindemirlaw.com/services/"	"200"	""	"Services"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/legal-alert-new-regulation-on-timeshare-rights-in-turkey-7-day-minimum-period-introduced/"	"200"	"https://cindemirlaw.com/escrow-account-turkey/"	"200"	""	"real estate"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/principle-of-family-unity-deportation-procedures-and-protection-of-family-unity-for-deportees/"	"200"	"https://cindemirlaw.com/about-us/"	"200"	""	"About Us"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/legal-visits-in-prison-lawyer-services-for-detainees-and-convicts-in-turkey/"	"200"	"https://cindemirlaw.com/appointment-of-a-turkish-lawyer-with-power-of-attorney/"	"200"	""	"power of attorney"	"true"	"false"	"true"	"false"	"false"
