"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Anchor"	"Alt attribute"	"Hreflang attribute"	"Is source canonical"	"Is source noindex"	"Is link self-referencing"
"Sitemap URL"	"false"	"https://cindemirlaw.com/post-sitemap.xml"	"200"	"https://cindemirlaw.com/%D0%B2%D1%82%D0%BE%D1%80%D0%B8%D1%87%D0%BD%D0%B0%D1%8F-%D0%B7%D0%B0%D1%89%D0%B8%D1%82%D0%B0/"	"301"	""	""	""	"true"	"true"	"false"
"Href link"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb5fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdbafde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/"	"301"	""	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdbdfde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-2/?lang=ru"	"200"	"https://cindemirlaw.com/author/admin/"	"301"	"admin"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/hakan-cindemir/"	"200"	"https://cindemirlaw.com/press/"	"301"	"Press"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/articles/?lang=ru"	"200"	"https://cindemirlaw.com/%D1%81%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B8-%D1%81-%D0%BE%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9-%D0%BE%D1%82%D0%B2/"	"301"	"создание компании с ограниченной ответственностью в Турции"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/%D1%82%D0%B8%D0%BF%D1%8B-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B9-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8/?lang=ru"	"200"	"https://cindemirlaw.com/author/admin/"	"301"	"admin"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/cisg-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8-%D0%BC%D0%B5%D0%B6%D0%B4%D1%83%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F-%D0%BA%D1%83%D0%BF%D0%BB%D1%8F-%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6/"	"200"	"https://cindemirlaw.com/press/"	"301"	"Press"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/family/"	"200"	"https://cindemirlaw.com/press/"	"301"	"Press"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/enforcement-of-promissory-notes-bills-of-exchange-and-cheques-in-turkey/?lang=ru"	"200"	"https://cindemirlaw.com/press/"	"301"	"О нас в прессе"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/%D0%BA%D0%B0%D0%BA-%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B8%D1%82%D1%8C-%D1%81%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D1%83-%D0%BE-%D0%BD%D0%B0%D0%BB%D0%B8%D1%87%D0%B8%D0%B8-%D1%81%D1%83%D0%B4%D0%B8%D0%BC%D0%BE/?lang=ru"	"200"	"https://cindemirlaw.com/author/admin/"	"301"	"admin"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/gokhan-cindemir-2/"	"200"	"https://cindemirlaw.com/press/"	"301"	"Press"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/ottoman-archival-documents-and-their-role-in-legal-and-historical-investigations/"	"200"	"https://cindemirlaw.com/press/"	"301"	"Press"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/nashiyurist/"	"200"	"https://cindemirlaw.com/press/"	"301"	"Press"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D1%8E%D1%80%D0%B8%D0%B4%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5-%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB/?lang=ru"	"200"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd83fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/"	"301"	"юридическая фирма"	""	""	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D1%8E%D1%80%D0%B8%D0%B4%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5-%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB/?lang=ru"	"200"	"https://cindemirlaw.com/press/"	"301"	"О нас в прессе"	""	""	"true"	"false"	"false"
